unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series
02352001C,2016-01-11,2023-02-27,372.0,373,23.0,6.2,53,1,1,1,1
02352001F,2016-01-04,2023-02-27,373.0,374,2.0,0.5,151,1,1,1,1
02417712,2016-08-29,2022-05-02,296.0,297,205.0,69.0,13,0,1,0,0
02418012,2016-10-03,2019-02-11,123.0,124,30.0,24.2,18,0,1,0,0
02418201,2016-05-02,2023-02-27,356.0,357,59.0,16.5,33,1,1,1,1
02419502,2018-01-08,2019-11-11,96.0,97,50.0,51.5,9,0,0,0,0
02420301,2015-12-21,2020-02-03,215.0,216,50.0,23.1,86,0,1,0,0
02420301LV,2016-02-22,2019-06-03,171.0,172,13.0,7.6,37,1,1,0,0
02421301,2016-02-15,2021-06-07,277.0,278,198.0,71.2,12,0,1,0,0
02447601,2016-05-09,2021-02-15,249.0,250,159.0,63.6,9,0,1,0,0
030335BM,2020-06-08,2023-02-06,139.0,140,45.0,32.1,10,0,1,1,0
030335NM,2019-01-07,2023-02-27,216.0,217,3.0,1.4,118,1,1,1,1
030335OM,2022-02-21,2023-02-20,52.0,53,17.0,32.1,14,0,0,1,0
03035501,2016-01-18,2023-02-20,370.0,371,94.0,25.3,18,0,1,1,0
03043401,2020-05-04,2023-02-27,147.0,148,11.0,7.4,31,1,1,1,1
03043801,2022-06-27,2023-03-06,36.0,37,0.0,0.0,37,1,0,1,0
03044401,2015-12-21,2023-02-20,374.0,375,57.0,15.2,33,1,1,1,1
03045501,2015-12-14,2023-03-06,377.0,378,1.0,0.3,225,1,1,1,1
03048501,2021-01-11,2023-02-27,111.0,112,6.0,5.4,37,1,1,1,1
03048701,2020-06-15,2023-02-27,141.0,142,26.0,18.3,17,1,1,1,1
03049301,2021-03-08,2023-02-27,103.0,104,7.0,6.7,24,1,0,1,0
03219502,2016-06-27,2021-11-08,280.0,281,174.0,61.9,18,0,1,0,0
