unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series,zero_range
181191,2015-12-21,2023-02-27,375.0,376,11.0,2.9,91,1,1,1,1,< 20%
181203,2015-12-21,2023-02-27,375.0,376,4.0,1.1,209,1,1,1,1,< 20%
181207,2015-12-14,2023-01-23,371.0,372,74.0,19.9,32,1,1,1,1,< 20%
181217,2016-01-04,2023-02-27,373.0,374,41.0,11.0,69,1,1,1,1,< 20%
181222,2016-01-04,2023-02-27,373.0,374,57.0,15.2,32,1,1,1,1,< 20%
181223,2015-12-14,2023-02-27,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
181385,2015-12-21,2023-02-27,375.0,376,13.0,3.5,139,1,1,1,1,< 20%
18138503,2020-05-25,2023-01-30,140.0,141,8.0,5.7,67,1,1,1,1,< 20%
181386,2016-08-08,2023-02-13,340.0,341,57.0,16.7,66,1,1,1,1,< 20%
181436,2015-12-21,2023-02-27,375.0,376,1.0,0.3,224,1,1,1,1,< 20%
181437,2015-12-14,2023-02-27,376.0,377,1.0,0.3,376,1,1,1,1,< 20%
181438,2015-12-21,2023-02-27,375.0,376,0.0,0.0,376,1,1,1,1,< 20%
181468,2015-12-21,2023-02-27,375.0,376,3.0,0.8,192,1,1,1,1,< 20%
181474,2015-12-21,2023-02-27,375.0,376,13.0,3.5,209,1,1,1,1,< 20%
181540,2016-02-22,2023-02-20,365.0,366,59.0,16.1,26,1,1,1,1,< 20%
18188005,2016-01-04,2023-01-16,367.0,368,43.0,11.7,84,1,1,1,1,< 20%
190162,2015-12-28,2023-02-27,374.0,375,36.0,9.6,85,1,1,1,1,< 20%
190186,2016-01-04,2023-02-27,373.0,374,15.0,4.0,136,1,1,1,1,< 20%
190214,2016-01-04,2023-02-06,370.0,371,36.0,9.7,57,1,1,1,1,< 20%
190385,2015-12-21,2023-01-23,370.0,371,39.0,10.5,45,1,1,1,1,< 20%
190652,2015-12-14,2023-02-13,374.0,375,38.0,10.1,88,1,1,1,1,< 20%
1950010126,2020-04-13,2023-02-20,149.0,150,23.0,15.3,23,1,1,1,1,< 20%
20010101,2015-12-21,2023-02-27,375.0,376,2.0,0.5,335,1,1,1,1,< 20%
20010301,2015-12-21,2023-03-06,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
20010301BM,2020-01-06,2023-02-27,164.0,165,17.0,10.3,41,1,1,1,1,< 20%
20010301D,2015-12-07,2023-02-27,377.0,378,3.0,0.8,185,1,1,1,1,< 20%
20010301NM,2020-06-01,2023-03-06,144.0,145,5.0,3.4,70,1,1,1,1,< 20%
20010302,2015-12-21,2023-02-27,375.0,376,7.0,1.9,262,1,1,1,1,< 20%
20011001,2015-12-21,2023-02-27,375.0,376,43.0,11.4,139,1,1,1,1,< 20%
20012001,2015-12-14,2023-02-27,376.0,377,1.0,0.3,340,1,1,1,1,< 20%
20012001D,2015-12-07,2023-02-27,377.0,378,8.0,2.1,159,1,1,1,1,< 20%
20012002,2015-12-28,2023-02-27,374.0,375,60.0,16.0,73,1,1,1,1,< 20%
20016201,2015-12-14,2023-02-13,374.0,375,68.0,18.1,95,1,1,1,1,< 20%
20016203,2015-12-14,2023-01-30,372.0,373,64.0,17.2,63,1,1,1,1,< 20%
20016701,2015-12-28,2023-02-27,374.0,375,16.0,4.3,188,1,1,1,1,< 20%
20017001,2015-12-07,2023-02-27,377.0,378,3.0,0.8,298,1,1,1,1,< 20%
20017401,2016-02-22,2023-02-27,366.0,367,25.0,6.8,154,1,1,1,1,< 20%
20017409,2015-12-21,2023-02-27,375.0,376,7.0,1.9,123,1,1,1,1,< 20%
20017701,2015-12-28,2023-02-27,374.0,375,30.0,8.0,80,1,1,1,1,< 20%
20018001,2015-12-21,2023-02-27,375.0,376,2.0,0.5,189,1,1,1,1,< 20%
20018002,2015-12-14,2023-02-27,376.0,377,1.0,0.3,306,1,1,1,1,< 20%
20018005,2015-12-28,2023-02-20,373.0,374,73.0,19.5,52,1,1,1,1,< 20%
20018080,2017-03-13,2023-02-06,308.0,309,60.0,19.4,56,1,1,1,1,< 20%
20018201,2016-12-19,2023-02-20,322.0,323,10.0,3.1,87,1,1,1,1,< 20%
20020303,2016-12-12,2023-03-06,325.0,326,1.0,0.3,205,1,1,1,1,< 20%
20020304,2017-01-16,2023-02-27,319.0,320,51.0,15.9,30,1,1,1,1,< 20%
20020305,2016-12-12,2023-02-27,324.0,325,2.0,0.6,218,1,1,1,1,< 20%
20020306,2017-01-02,2023-02-13,319.0,320,63.0,19.7,37,1,1,1,1,< 20%
20020501,2016-01-04,2023-02-27,373.0,374,21.0,5.6,52,1,1,1,1,< 20%
20020502,2015-12-28,2023-02-27,374.0,375,34.0,9.1,92,1,1,1,1,< 20%
20020504,2016-02-29,2023-02-27,365.0,366,47.0,12.8,43,1,1,1,1,< 20%
20020505,2016-01-04,2023-02-27,373.0,374,64.0,17.1,40,1,1,1,1,< 20%
