,id,model,rmse,mae,wape_m
416,06183901NM,AutoARIMA,3,2.8,74.9
417,06183901NM,AutoETS,3,2.4,98.8
418,06183901NM,DynamicOptimizedTheta,2,2.0,67.5
419,06183901NM,AutoTheta,2,2.1,72.0
420,06183901NM,ADIDA,2,2.2,73.1
421,06183901NM,CrostonClassic,2,2.2,72.1
422,06183901NM,IMAPA,2,2.2,73.1
423,06183901NM,WindowAverage,2,1.8,39.2
424,06184902,AutoARIMA,6,4.6,43.5
425,06184902,AutoETS,6,4.8,49.6
426,06184902,DynamicOptimizedTheta,6,4.7,45.2
427,06184902,AutoTheta,6,4.7,44.8
428,06184902,ADIDA,6,4.7,45.2
429,06184902,CrostonClassic,6,4.8,49.6
430,06184902,IMAPA,6,4.7,45.2
431,06184902,WindowAverage,7,4.5,46.4
432,06210301,AutoARIMA,7,5.3,32.5
433,06210301,AutoETS,7,5.7,37.6
434,06210301,DynamicOptimizedTheta,7,5.3,32.2
435,06210301,AutoTheta,7,5.3,31.5
436,06210301,ADIDA,7,5.3,32.2
437,06210301,CrostonClassic,7,5.3,32.4
438,06210301,IMAPA,7,5.3,32.2
439,06210301,WindowAverage,7,5.1,32.5
440,06210302,AutoARIMA,3,2.3,34.9
441,06210302,AutoETS,3,2.3,28.1
442,06210302,DynamicOptimizedTheta,3,2.4,33.5
443,06210302,AutoTheta,3,2.4,34.6
444,06210302,ADIDA,3,2.4,34.7
445,06210302,CrostonClassic,3,2.4,32.8
446,06210302,IMAPA,3,2.4,34.7
447,06210302,WindowAverage,3,2.5,44.8
448,06212001,AutoARIMA,2,2.1,110.7
449,06212001,AutoETS,2,2.1,121.9
450,06212001,DynamicOptimizedTheta,2,2.1,112.5
451,06212001,AutoTheta,2,2.1,108.3
452,06212001,ADIDA,2,2.1,110.7
453,06212001,CrostonClassic,2,2.1,120.6
454,06212001,IMAPA,2,2.1,110.7
455,06212001,WindowAverage,3,2.6,162.3
456,06212001NM,AutoARIMA,3,2.6,28.3
457,06212001NM,AutoETS,3,2.3,33.9
458,06212001NM,DynamicOptimizedTheta,3,2.2,30.2
459,06212001NM,AutoTheta,3,2.2,30.2
460,06212001NM,ADIDA,3,2.2,31.2
461,06212001NM,CrostonClassic,3,2.2,30.0
462,06212001NM,IMAPA,3,2.2,31.2
463,06212001NM,WindowAverage,3,3.0,55.4
464,06217402,AutoARIMA,2,1.5,64.0
465,06217402,AutoETS,2,1.5,85.6
466,06217402,DynamicOptimizedTheta,2,1.4,76.5
467,06217402,AutoTheta,2,1.4,75.7
468,06217402,ADIDA,2,1.4,76.6
469,06217402,CrostonClassic,2,1.5,81.7
470,06217402,IMAPA,2,1.4,76.6
471,06217402,WindowAverage,2,1.2,41.0
472,06217702,AutoARIMA,2,1.8,119.6
473,06217702,AutoETS,2,1.8,103.0
474,06217702,DynamicOptimizedTheta,2,1.8,107.5
475,06217702,AutoTheta,2,1.8,107.5
476,06217702,ADIDA,2,1.8,107.5
477,06217702,CrostonClassic,2,1.8,131.4
478,06217702,IMAPA,2,1.8,107.5
479,06217702,WindowAverage,3,1.8,82.5
480,06218002,AutoARIMA,4,3.1,33.6
481,06218002,AutoETS,4,3.1,40.2
482,06218002,DynamicOptimizedTheta,4,3.1,34.6
483,06218002,AutoTheta,4,3.1,36.6
484,06218002,ADIDA,4,3.1,34.6
485,06218002,CrostonClassic,4,3.1,36.3
486,06218002,IMAPA,4,3.1,34.6
487,06218002,WindowAverage,4,3.1,32.5
488,06218080,AutoARIMA,3,2.5,31.1
489,06218080,AutoETS,3,2.5,34.3
490,06218080,DynamicOptimizedTheta,3,2.6,31.9
491,06218080,AutoTheta,3,2.5,33.0
492,06218080,ADIDA,3,2.6,31.9
493,06218080,CrostonClassic,3,2.5,28.1
494,06218080,IMAPA,3,2.6,31.9
495,06218080,WindowAverage,3,2.6,46.3
496,06220301,AutoARIMA,3,2.5,50.3
497,06220301,AutoETS,3,2.5,51.1
498,06220301,DynamicOptimizedTheta,3,2.1,36.3
499,06220301,AutoTheta,3,2.1,36.1
500,06220301,ADIDA,3,2.1,36.3
501,06220301,CrostonClassic,3,2.1,36.4
502,06220301,IMAPA,3,2.1,36.3
503,06220301,WindowAverage,3,2.2,37.0
504,06220601,AutoARIMA,3,2.3,29.8
505,06220601,AutoETS,3,2.2,28.7
506,06220601,DynamicOptimizedTheta,3,2.2,29.3
507,06220601,AutoTheta,3,2.3,29.5
508,06220601,ADIDA,3,2.2,30.4
509,06220601,CrostonClassic,3,2.3,29.0
510,06220601,IMAPA,3,2.2,30.4
511,06220601,WindowAverage,3,2.6,62.9
512,06243201,AutoARIMA,3,2.0,45.6
513,06243201,AutoETS,3,2.3,17.8
514,06243201,DynamicOptimizedTheta,3,2.3,29.4
515,06243201,AutoTheta,3,2.3,29.6
516,06243201,ADIDA,3,2.2,23.2
517,06243201,CrostonClassic,3,2.2,17.1
518,06243201,IMAPA,3,2.2,23.2
519,06243201,WindowAverage,3,2.2,36.0
520,06248702,AutoARIMA,3,2.1,117.7
521,06248702,AutoETS,2,1.9,82.5
522,06248702,DynamicOptimizedTheta,2,1.9,87.7
523,06248702,AutoTheta,2,1.9,90.4
524,06248702,ADIDA,2,1.9,87.7
