,id,model,rmse,mae,wape_m
431,106103,random_walk,15,11.3,79.0
432,106103,window_average,13,10.2,48.9
433,106103,auto_arima,13,9.6,48.5
434,106103,prophet,16,14.1,133.0
435,106177,mean,3,2.3,193.6
436,106177,random_walk,2,1.8,71.6
437,106177,window_average,2,1.8,68.3
438,106177,auto_arima,2,1.9,87.7
439,106177,prophet,3,2.3,188.9
440,106180,mean,6,5.3,437.0
441,106180,random_walk,2,1.9,63.1
442,106180,window_average,2,2.1,86.0
443,106180,auto_arima,3,2.3,121.6
444,106180,prophet,6,5.4,449.7
445,106437,mean,2,1.4,46.2
446,106437,random_walk,2,1.4,70.3
447,106437,window_average,2,1.9,79.7
448,106437,auto_arima,2,1.4,47.3
449,106437,prophet,1,1.3,30.7
450,106486,mean,2,1.6,177.0
451,106486,random_walk,3,2.3,245.1
452,106486,window_average,1,1.1,64.5
453,106486,auto_arima,2,1.4,101.6
454,106486,prophet,2,1.6,175.3
455,106603,mean,2,1.7,43.4
456,106603,random_walk,2,1.5,60.8
457,106603,window_average,2,1.6,24.2
458,106603,auto_arima,2,1.6,18.6
459,106603,prophet,2,1.7,46.2
460,106980,mean,15,13.2,125.3
461,106980,random_walk,15,12.6,81.5
462,106980,window_average,15,11.0,88.5
463,106980,auto_arima,14,10.5,73.4
464,106980,prophet,15,13.2,120.1
465,107167,mean,4,2.9,111.8
466,107167,random_walk,6,5.9,389.7
467,107167,window_average,4,3.1,116.9
468,107167,auto_arima,4,2.9,111.8
469,107167,prophet,4,2.9,110.2
470,10717002,mean,4,3.8,64.1
471,10717002,random_walk,3,2.4,26.5
472,10717002,window_average,3,2.3,21.3
473,10717002,auto_arima,3,2.1,13.7
474,10717002,prophet,4,3.8,64.7
475,1071749,mean,2,2.2,139.3
476,1071749,random_walk,3,2.4,51.4
477,1071749,window_average,2,2.2,65.7
478,1071749,auto_arima,2,1.9,86.5
479,1071749,prophet,2,2.2,143.6
480,107395,mean,6,4.7,67.0
481,107395,random_walk,5,3.7,37.6
482,107395,window_average,5,4.0,39.2
483,107395,auto_arima,5,3.8,36.9
484,107395,prophet,5,4.5,65.8
485,107839,mean,6,5.0,41.1
486,107839,random_walk,5,4.4,18.8
487,107839,window_average,5,4.5,30.1
488,107839,auto_arima,5,4.5,29.7
489,107839,prophet,6,5.0,41.0
490,107922,mean,3,2.2,64.7
491,107922,random_walk,3,2.6,85.7
492,107922,window_average,3,2.3,63.5
493,107922,auto_arima,2,2.1,41.7
494,107922,prophet,3,2.2,65.0
495,112441,mean,4,3.7,83.0
496,112441,random_walk,5,4.1,142.6
497,112441,window_average,5,4.4,165.6
498,112441,auto_arima,4,3.9,84.5
499,112441,prophet,4,3.7,80.3
500,114444,mean,2,2.1,66.5
501,114444,random_walk,4,3.2,133.4
502,114444,window_average,3,2.2,51.4
503,114444,auto_arima,2,2.2,72.5
504,114444,prophet,2,2.1,64.0
505,117103,mean,3,2.3,347.4
506,117103,random_walk,3,2.2,147.6
507,117103,window_average,2,1.3,80.2
508,117103,auto_arima,1,1.2,76.0
509,117103,prophet,3,2.3,349.6
510,117175,mean,2,2.1,439.4
511,117175,random_walk,1,0.9,93.7
512,117175,window_average,1,1.1,108.6
513,117175,auto_arima,1,1.2,142.4
514,117175,prophet,2,2.2,449.5
